x,y
10,10
10.1949,10.0473
10.4044,10.0896
10.6281,10.1274
10.8655,10.1615
11.1162,10.1924
11.3798,10.2207
11.6559,10.247
11.944,10.272
12.2437,10.2962
12.5547,10.3203
12.8764,10.3449
13.2085,10.3705
13.5505,10.3978
13.9021,10.4274
14.2627,10.46
14.632,10.496
15.0096,10.5362
15.3949,10.5811
15.7877,10.6313
16.1875,10.6875
16.5938,10.7503
17.0063,10.8202
17.4245,10.8979
17.848,10.984
18.2764,11.0791
18.7092,11.1838
19.146,11.2987
19.5865,11.4245
20.0301,11.5617
20.4766,11.7109
20.9253,11.8728
21.376,12.048
21.8282,12.237
22.2814,12.4406
22.7354,12.6592
23.1895,12.8935
23.6435,13.1441
24.0968,13.4117
24.5491,13.6968
25,14
25.4589,14.3248
25.9348,14.6736
26.4267,15.0451
26.9335,15.4385
27.4541,15.8525
27.9874,16.2862
28.5324,16.7384
29.088,17.208
29.6531,17.694
30.2266,18.1953
30.8074,18.7108
31.3945,19.2395
31.9868,19.7802
32.5832,20.3319
33.1826,20.8936
33.784,21.464
34.3863,22.0422
34.9883,22.6271
35.5891,23.2175
36.1875,23.8125
36.7825,24.4109
37.3729,25.0117
37.9578,25.6137
38.536,26.216
39.1064,26.8174
39.6681,27.4168
40.2198,28.0132
40.7605,28.6055
41.2892,29.1926
41.8047,29.7734
42.306,30.3469
42.792,30.912
43.2616,31.4676
43.7138,32.0126
44.1475,32.5459
44.5615,33.0665
44.9549,33.5733
45.3264,34.0652
45.6752,34.5411
46,35
46.3032,35.4509
46.5883,35.9032
46.8559,36.3565
47.1065,36.8105
47.3408,37.2646
47.5594,37.7186
47.763,38.1718
47.952,38.624
48.1272,39.0747
48.2891,39.5234
48.4383,39.9699
48.5755,40.4135
48.7013,40.854
48.8162,41.2908
48.9209,41.7236
49.016,42.152
49.1021,42.5755
49.1798,42.9937
49.2497,43.4062
49.3125,43.8125
49.3687,44.2123
49.4189,44.6051
49.4638,44.9904
49.504,45.368
49.54,45.7373
49.5726,46.0979
49.6022,46.4495
49.6295,46.7915
49.6551,47.1236
49.6797,47.4453
49.7038,47.7563
49.728,48.056
49.753,48.3441
49.7793,48.6202
49.8076,48.8838
49.8385,49.1345
49.8726,49.3719
49.9104,49.5956
49.9527,49.8051
50,50
