x,y
10,10
10.6666,10.1267
11.3331,10.2539
11.9992,10.3822
12.6649,10.5121
13.3299,10.6442
13.994,10.7789
14.6572,10.9169
15.3193,11.0586
15.98,11.2046
16.6392,11.3554
17.2968,11.5116
17.9526,11.6738
18.6064,11.8423
19.2581,12.0178
19.9075,12.2009
20.5544,12.3919
21.1987,12.5916
21.8402,12.8004
22.4787,13.0189
23.1141,13.2475
23.7463,13.4869
24.3749,13.7375
25,14
25.6213,14.2747
26.2386,14.5615
26.8517,14.8603
27.4605,15.1708
28.0647,15.4929
28.6642,15.8264
29.2587,16.171
29.8481,16.5267
30.4322,16.8931
31.0107,17.2701
31.5835,17.6575
32.1503,18.0551
32.7111,18.4627
33.2656,18.8801
33.8135,19.3071
34.3547,19.7436
34.8891,20.1893
35.4164,20.644
35.9364,21.1076
36.4489,21.5798
36.9537,22.0604
37.4507,22.5493
37.9396,23.0463
38.4202,23.5511
38.8924,24.0636
39.356,24.5836
39.8107,25.1109
40.2564,25.6453
40.6929,26.1865
41.1199,26.7344
41.5373,27.2889
41.9449,27.8497
42.3425,28.4165
42.7299,28.9893
43.1069,29.5678
43.4733,30.1519
43.829,30.7413
44.1736,31.3358
44.5071,31.9353
44.8292,32.5395
45.1397,33.1483
45.4385,33.7614
45.7253,34.3787
46,35
46.2625,35.6251
46.5131,36.2537
46.7525,36.8859
46.9811,37.5213
47.1996,38.1598
47.4084,38.8013
47.6081,39.4456
47.7991,40.0925
47.9822,40.7419
48.1577,41.3936
48.3262,42.0474
48.4884,42.7032
48.6446,43.3608
48.7954,44.02
48.9414,44.6807
49.0831,45.3428
49.2211,46.006
49.3558,46.6701
49.4879,47.3351
49.6178,48.0008
49.7461,48.6669
49.8733,49.3334
50,50
